Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,40,28.6,5.54,48,100,.324,5.13,148,148,145,3,4,3,21,1295.0,1352,820,738,209,507,43,1117,71,7,39,5731,81,4.87,1.436,9.4,1.5,3.5,7.8,2.20,1026
Atlanta Braves,28,29.5,4.18,76,70,.521,3.98,146,146,145,1,15,1,34,1277.2,1137,611,565,171,475,25,1302,63,8,67,5414,110,4.12,1.262,8.0,1.2,3.3,9.2,2.74,970
Baltimore Orioles,40,28.2,5.99,47,101,.318,5.93,148,148,147,1,3,1,22,1280.1,1389,886,844,236,530,9,1145,64,7,81,5735,79,5.16,1.499,9.8,1.7,3.7,8.0,2.16,1008
Boston Red Sox,37,29.7,4.64,85,65,.567,4.24,150,150,150,0,6,0,45,1313.0,1308,696,619,165,501,28,1400,77,6,57,5694,112,3.98,1.378,9.0,1.1,3.4,9.6,2.79,1059
Chicago Cubs,38,29.5,5.15,66,83,.443,4.83,149,149,148,1,7,0,37,1303.0,1268,768,700,214,553,22,1261,90,4,55,5715,87,4.84,1.398,8.8,1.5,3.8,8.7,2.28,1038
Chicago White Sox,26,28.3,3.99,84,64,.568,3.76,148,148,144,4,12,3,39,1285.1,1096,591,537,173,452,16,1468,47,6,76,5376,115,3.79,1.204,7.7,1.2,3.2,10.3,3.25,929
Cincinnati Reds,32,29.0,4.62,77,72,.517,4.32,149,149,148,1,8,1,41,1319.1,1209,689,633,186,561,27,1396,60,7,52,5685,110,4.29,1.342,8.2,1.3,3.8,9.5,2.49,1038
Cleveland Indians,23,26.2,4.55,72,74,.493,4.36,146,146,146,0,7,0,38,1275.0,1150,665,618,198,488,12,1276,56,8,46,5419,102,4.46,1.285,8.1,1.4,3.4,9.0,2.61,929
Colorado Rockies,25,28.3,4.88,70,78,.473,4.76,148,148,145,3,6,1,31,1280.1,1267,722,677,182,499,17,1176,56,3,60,5533,100,4.47,1.379,8.9,1.3,3.5,8.3,2.36,970
Detroit Tigers,29,27.4,4.74,71,78,.477,4.37,149,149,147,2,6,1,36,1306.2,1262,706,635,188,523,10,1172,76,3,76,5679,98,4.61,1.366,8.7,1.3,3.6,8.1,2.24,1053
Houston Astros,30,28.8,3.98,87,61,.588,3.68,148,148,146,2,7,0,32,1319.1,1119,589,539,171,492,8,1345,63,4,66,5525,117,4.07,1.221,7.6,1.2,3.4,9.2,2.73,978
Kansas City Royals,28,28.0,4.91,67,81,.453,4.69,148,148,148,0,7,0,34,1298.1,1257,726,676,177,555,15,1251,56,9,83,5625,98,4.41,1.396,8.7,1.2,3.8,8.7,2.25,1004
Los Angeles Angels,39,28.7,4.96,72,76,.486,4.69,148,148,147,1,4,0,37,1294.2,1250,734,674,171,543,14,1344,70,11,54,5645,96,4.22,1.385,8.7,1.2,3.8,9.3,2.48,1027
Los Angeles Dodgers,39,28.8,3.38,95,54,.638,2.93,149,149,148,1,16,0,48,1335.0,1005,503,434,147,450,42,1472,59,7,44,5458,137,3.53,1.090,6.8,1.0,3.0,9.9,3.27,950
Miami Marlins,34,27.3,4.23,62,86,.419,3.87,148,148,147,1,8,0,30,1294.2,1157,626,556,147,483,37,1248,80,2,51,5495,107,4.01,1.267,8.0,1.0,3.4,8.7,2.58,985
Milwaukee Brewers,37,28.1,3.72,91,57,.615,3.37,148,148,146,2,18,1,43,1315.0,1046,550,492,147,499,18,1493,70,9,55,5481,126,3.64,1.175,7.2,1.0,3.4,10.2,2.99,986
Minnesota Twins,35,29.9,5.22,65,84,.436,4.89,149,149,148,1,8,0,37,1304.1,1274,778,708,225,446,12,1201,50,2,45,5582,88,4.70,1.319,8.8,1.6,3.1,8.3,2.69,891
New York Mets,41,29.4,4.09,72,77,.483,3.85,149,149,147,2,8,1,38,1271.1,1128,610,544,174,429,21,1336,65,1,52,5329,104,3.99,1.225,8.0,1.2,3.0,9.5,3.11,905
New York Yankees,29,29.3,4.13,83,66,.557,3.72,149,149,146,3,12,2,44,1319.1,1125,616,546,181,461,10,1439,52,8,78,5508,116,3.93,1.202,7.7,1.2,3.1,9.8,3.12,934
Oakland Athletics,26,30.1,4.16,81,67,.547,3.95,148,148,145,3,11,3,38,1310.2,1242,616,575,169,397,10,1217,55,2,62,5526,105,4.01,1.251,8.5,1.2,2.7,8.4,3.07,978
Philadelphia Phillies,32,28.9,4.70,76,72,.514,4.47,148,148,144,4,10,3,34,1297.2,1225,695,645,191,459,33,1357,68,3,46,5556,92,4.20,1.298,8.5,1.3,3.2,9.4,2.96,968
Pittsburgh Pirates,36,27.5,5.05,56,92,.378,5.01,148,148,148,0,5,0,23,1275.1,1260,748,710,189,542,21,1193,71,3,50,5578,85,4.66,1.413,8.9,1.3,3.8,8.4,2.20,1004
San Diego Padres,32,29.7,4.19,76,72,.514,3.91,148,148,146,2,11,2,41,1309.0,1150,620,569,184,463,31,1397,84,1,52,5516,99,4.10,1.232,7.9,1.3,3.2,9.6,3.02,969
Seattle Mariners,37,28.0,4.70,79,69,.534,4.35,148,148,147,1,10,0,43,1315.1,1262,696,636,181,439,16,1211,65,3,57,5592,96,4.26,1.293,8.6,1.2,3.0,8.3,2.76,950
San Francisco Giants,34,29.7,3.70,97,52,.651,3.27,149,149,147,2,16,2,52,1336.2,1130,552,486,140,389,17,1303,58,6,43,5501,126,3.57,1.136,7.6,0.9,2.6,8.8,3.35,939
St. Louis Cardinals,31,30.0,4.20,78,69,.531,4.00,147,147,144,3,15,1,43,1288.0,1123,618,573,136,558,29,1107,82,4,62,5513,96,4.30,1.305,7.8,1.0,3.9,7.7,1.98,1031
Tampa Bay Rays,40,28.9,4.17,92,57,.617,3.79,149,149,148,1,11,0,39,1341.0,1187,622,564,172,408,26,1369,50,6,58,5548,104,3.81,1.189,8.0,1.2,2.7,9.2,3.36,903
Texas Rangers,32,27.9,5.02,55,93,.372,4.76,148,148,148,0,3,0,27,1303.1,1290,743,690,216,466,11,1134,53,0,61,5589,92,4.77,1.347,8.9,1.5,3.2,7.8,2.43,936
Toronto Blue Jays,38,29.2,4.09,83,65,.561,3.88,148,148,147,1,14,1,29,1283.1,1148,605,553,191,425,10,1336,62,3,46,5397,114,4.15,1.226,8.1,1.3,3.0,9.4,3.14,942
Washington Nationals,31,30.3,5.05,60,88,.405,4.77,148,148,147,1,7,0,32,1271.0,1233,747,674,225,482,42,1224,65,1,37,5513,85,4.82,1.349,8.7,1.6,3.4,8.7,2.54,953
League Average,29,28.8,4.53,74,74,.500,4.25,148,148,147,2,9,1,36,1301,1202,672,614,182,482,21,1290,65,5,57,5549,101,4.25,1.295,8.3,1.3,3.3,8.9,2.67,975
,880,28.8,4.53,2223,2223,.500,4.25,4446,4446,4399,47,275,27,1088,39019.0,36049,20148,18410,5456,14475,632,38690,1938,144,1711,166458,101,4.25,1.295,8.3,1.3,3.3,8.9,2.67,29253